drugName,condition,review,rating
Varenicline,Smoking Cessation,"I have been on Chantix (for the 2nd time) since March 1st this year. I had my last cigarette on March 6th. Although I started back after I used Chantix the first time, this is the very best way to quit smoking in my opinion. I have had some constipation and really cool dreams in color (no bad dreams), but all in all, I have had very little in the way of side effects. I am a nearly 49 year old woman who started smoking at 17. I do sometimes want a cigarette, but its not an unbearable feeling, and if I go for a walk, or find something to do, it goes away quickly. I would recommend this to anyone who has decided that they want to quit.",10
Flagyl,Bacterial Infection,To get rid of the bad taste I tried candy. Something sweet that dissolves slowly. That worked for me.,10
Doxazosin,High Blood Pressure,doctor started me on 4mg straight away which caused bad side effects. instructions say start at 1mg so i am trying that. also wasnt told by doctor to take at night so i will see if that helps. so far not happy anyone else had problems? i thought i'd pass out in town centre not good.,5
Coreg,High Blood Pressure,I have had great results with Coreg . My blood pressure was high and heart rate and now my pressure is normal and heart rate is much slower.,10
Portia,Birth Control,"Awesome. Super short periods, no acne, no cramping. Been on for years. Highly recommend",10
Lutera,Abnormal Uterine Bleeding,My doctor recommended this pill to help balance my hormones and regulate my flow. I have been on the pill for a month and will not be taking it a second month. I had spotting everyday and became anemic.,1
Jolivette,Birth Control,"First I'd like to say that different meds are for different people so just because you have a bad experience doesn't mean it's not the perfect med for the next person. Personally, I love Jolivette, it has done wonders for my depression ... Great non estrogen birth control pills for me. I will say that the lack of periods is odd but I feel better than ever.",10
Fluconazole,Vaginal Yeast Infection,So I initially got the yeast infection due to many antibiotics and medication after a car accident. It was unbearable and I ignored it for a month in which it worsened. I decided to try monistat 7 which was a remedy which was painful but worked wonderfully until I started taking my antibiotics again. I experienced some mild itching and immediately went to my ob/gyn. She prescribed two doses of 150mg fluconazole. I took one yesterday around 10AM and was fine during the day. At night I felt like there was some mild irritation in that region so left over cream from the monistat 7 was used. Today I took it around 3PM and it made me quiet nauseous but I am experiencing no further itching or irritation. Hopefully it will be gone for good!,9
Geodon,Bipolar Disorde,"Geodon has been a life saver. It took awhile to get the right dose and know when to take it (AM versus PM), but I am doing great now. I take it in the evening and still have morning grogginess after several months. My doctor prescribed Provigil which really helps (although costly). I take the Geodon in conjunction with Lamictal. I have less agitation and find (at least my family finds) that I am much less hostile than before. Do be careful in the heat as I got very sick from overheating and follow instructions and do not drink alcohol. One pina colada felt like a whole case of beer.",10
Quetiapine,Bipolar Disorde,"Prescribed this drug when I was 14/15, underweight and struggling to function. Although never formally diagnosed with an eating disorder, I was restricting my eating and making myself sick. I was 5ft 4 and dropped to 7.8 stone at my lowest, looking gaunt and painfully thin. The drug helped me sleep, and helped with my depression. As the dose increased, I was gaining weight rapidly. Traumatising for a recovering teenager, I hated the way I looked, I was drowsy and lethargic and my self esteem plummeted. Nearly none of my clothes fitted and trying on new clothes nearly always led to tears. I hated the way I looked and am still in the process of coming off the drug. For me, lithium has been a god send for my bipolar.",4
Liletta,Birth Control,"I got my IUD inserted 3 weeks ago. The procedure was crampy, though I did take 600mg of ibuprofen beforehand so it was bearable as long as I remembered to breathe through it. It took about 10 minutes. There were some risidual cramps, first light then really bad on the drive home. Since then I have been spotting/lightly bleeding. For several days last week it was heavier so I assume it was my period? Previously I was on Ortho Tri-Cyclen pills and they told me to finish up the pack I was on so I did and that's when the heavier bleeding started. Now I am back to lighter bleeding/spotting but I hope it stops soon. Normally my periods are 3 days max so I'm not used to this and frankly tired of it!",9
Abatacept,Rheumatoid Arthritis,"Been on weekly injections since Nov 2011. Have had no side effects, no flare ups, no joint swelling or pain. Totally keeping my RA at bay. My insurance and Orencia co-pay covered the total expense but now since my insurance changed January 2016, they will not cover it and insist I try Humira. I cannot take methotrexate (kidney issues). I am terrified they'd rather let me die due to cost than give me what has worked for over 4 yrs! My doctor believes totally in Orencia & so do i! I think it's the BEST out there!",10
Gilenya,Multiple Sclerosis,I have been on Gilenya since February of this year. So far it is great. Some days my body pain is a bit more but not 100% sure its the medicine or just the MS. I am thrilled to get to take this so far..especially because its a pill and not a shot.,9
Frova,Migraine,"Frova works very well for me, and has been my go-to for 10 years. Back in the day, different ""triptans"" worked okay for a couple of years, and then I had to switch to something different, as eventually they all lost their efficacy over time. Not this. Frova is still working just as well today, as it did when I started using it 10 years ago.",10
Omnaris,Allergic Rhinitis,"I do not doubt the effectiveness of this drug, it works as advertised. The issue that I have with it that it causes irritability, add anxiety and increased sense of depression.",4
Rizatriptan,Migraine,"I am very greatful for Maxalt wafers as they help me get rid of my migraines, although the side effects of insane burning and jaw pain last and hour before, the wafer curing my migraine. Half half if you can endure the pain, its wonderful",7
Intuniv,ADHD,"My 8 year old daughter has been taking the medication for 4 months now and although we have seen a good improvement in her behavior, the weight gain has been substantial. She has gained over 10 lbs in 4 months which is incredibly unhealthy. Her blood pressure has also been on the very low side. Unfortunately for us we can't risk the bad side effects even though we have seen a positive behavior change.",5
Oxycodone,Chronic Pain,"I have severe lower back pain. It's mechanical and stretching helps but it's not enough to stop this kind of pain. I started on bupe but it was not enough. I tried Oxycodone at 10mg not helping. OxyContin that lasts many hours at around 40mg works. If I do stuff around the house or walk for a while I need to take 20mg oxycondone on top. I have done this for two years. I think this is a good drug. However, I'm thinking about going back to bupe as the stretching may have helped over the last year. I won't know unless I try.",9
Rizatriptan,Migraine,"I've had migraines since I was 11 and was first prescribed Maxalt when I was 17. It's wonderful. I take it as soon as I start to notice the signs of a migraine and about 70% of the time the first dose does the job, within an hour or less. Occasionally I take a second dose if the symptoms haven't gone after 2-3 hours. Very occasionally it doesn't work at all. It has improved my life enormously. I evangelize about it. My migraines used to last up to 3 days - now I get a unkillable one only once or twice a year. Side effects for me are (as someone else has mentioned) one sneeze within a few minutes of taking it, a little drowsiness and eventually a little euphoria (though maybe that's a rational response to knowing the migraine has gone).",9
Adderall XR,ADHD,Been on Adderall XR for a week and I can tell a huge difference in my daily life. I was prescribed 20mg once a day. I am 35 years old and I believe I have always suffered from untreated ADHD. My only complaint is with no insurance it is a fairly expensive medication but so far well worth the cost.,9
Zegerid,GERD,"I was diagnosed with acid reflux at 14 and always had heartburn. But after a while pain accompanied the heartburn and began to wake me up in the middle of the night and would not let me go back to sleep. My doctor assumed it was an ulcer and decided to put me on Pepcid AC and Nexium, one tablet each a day. I was still in a quite a bit of pain. and when I went to see a specialist they preformed an endoscopy and found that i had a severe case of gastritis. They prescribed me Zegerid and the difference was unbelievable. After about a week I was completely pain free. No more heartburn or pain. But I always have to make sure I take it once a day or else ill pay for it the next day. Overall, I don't know what I would do without it.",10
Embeda,Chronic Pain,I've got chronic pain - Usually not able to move upon waking ~ I've been on Opioids for several decades starting in '80's / Tylenol 4 / my R jaw at Condyle - TMJ WAS GONE - I'm now on my 3rd prosthesis placed July 2015 - My Neck / Crevical Spine from 3- 5/6 Bulged with 5 sitting on Nerve Root - Mid Spine was Broke & Healed & I've got damages Lumbar Spine & Nerves Both Lumbar & Cervical ~ I was on numerous Strengths of Hydrocodone then Combo Hydrocodone & Demerol 100 for break thru for over decade / Increased to percocet 10/325 for about 5 yrs and up'ed To oxycodone 20mg 4 times day ~ Embed 60/2.4/ 2 x's day 4 months Seems to work now w narco 7.5 as needed for Increased pain - Nice to be able to move without pain - Still kinked up/ No pain!,9
Methenamine,Urinary Tract Infection,"Around this time last year I got my first UTI which quickly turned into a recurring UTI. I suffered for 6 months, taking an antibiotic (caeflexan) as I was resistant to anyone other. However after a few days of finishing the antibiotic the UTI came back. These UTI's made me very ill not being able to leave bed for at least four days once the antibiotic started, I was consistently vomiting and lost a lot of weight due to all the symptoms above and not eating properly. Having to go to A&E because of the severity of the UTI; the doctor suggested to take Hiprex which would help me regain weight and health due to not being constantly sick. Hiprex has made a huge difference meaning I can now have a normal life without UTI's.",10
Glimepiride,"Diabetes, Type 2","I have never taking some that screwed me up so much, read the symptoms below , they all fit me. Watch out for bad drug.",1
Ritalin,ADHD,I have been on Ritalin for 5 months now and it works great for my ADHD. I wish I would have been on it when I was in high school maybe I would have finished high school. I am 25 yrs old and I'm going for my G.E.D so I can go to College. I am so happy now I can concentrate and do things that I was never able to do. The only con is that it is not lasting as long as it did when I first got on it. I really believe Ritalin saved my life.,9
Contrave,Obesity,"I'm 39 and I started last summer 2015. I wasn't consistent and expected the pill to do all the work. I would hit and miss and so my weight because stagnant. Since the medicine is so expensive I took myself off of them and did a restart when I got VERY serious. I started exercising and eating right. Didn't follow the recommended caloric intake but I switch my diet big time. I love alcohol (wine) with dinner, salty snacks, and carbs. Since I've gotten serious those cravings have diminished to zero. I'm more energetic and motivated to work out and my mood is A-1. Starting weight was 234 and now I'm down to 230 in just a few days. Not a whole lot but promising. Great product! I recommend it.",8
Robaxin-750,Muscle Spasm,"New to this medication. Switched to this because of side effects from Zanaflex. I notice this medication does not make me sleepy- not sure what to do about getting sleep as the Zanaflex did help me sleep through the night (aside from the side effects). Curious what others on this do for sleep, or if this will eventually help with that? I really miss Soma, although with that one my tolerance built up really quickly and I had rebound insomnia when I stopped taking it.",5
Amerge,Migraine,Conquers the headache in about 2 hours and keeps it away for a day. Slower to work than Imitrex but lasts longer for me.,8
Flonase,Allergic Rhinitis,I have used this product for 15 years. This product still relieves my Rhinitis symptoms.,9
Focalin XR,ADHD,My daughter has been taking this for about 2 months and it seems to be working besides she has been really disrespectful to everyone witch we have not seen with her before with her other meds.,8
Roxicodone,Chronic Pain,"Very effective. I have 3 bulging discs in my neck, 2 herniated discs in my lower back, and torn ligaments in both knees, had surgery on right, the left is next but still very painful, from a major car accident, left me disabled. I take 60mgs Oxycontin 2xdaily and 30mgs oxycodone 4xdaily. And it has been a life saver, thanks to my compassionate Dr. Who understands my chronic pain, I can actually live my life. And take care all my adopted animals that need me.",10
Monistat 7-Day Combination Pack,Vaginal Yeast Infection,I’m 20 years old and this is my first yeast infection. Let me tell you guys I wish I never ever get a yeast infection again in my life!!! I went in to the E.R due to being super itchy down there and they prescribed this to me due to having a YI. It’s my first day taking it and I am so itchy it’s crazy!! It doesn’t burn but I just it is just the itch!!!!! I’m crying !!! I don’t know how I will get through this. It’s barely my first day out of 7! Good luck to anyone using this! I would recommend avoiding this and asking your dr is there is something else you can take.,1
Alprazolam,Panic Disorde,"Honestly Xanax pretty much saved my life. I know some people have bad reactions to it, but that is few and far between. The rest of you that had problems clearly didn't read up on it-- which you should always do with your medications. All I can really say is that I went from having like 1-4 panic attacks a week to one every six months or so when I take this medicine as needed. I function so much better as a human being, and am forever grateful that I got out on the right meds.",9
Codeine,Pain,Great. It works well for pain but does not last as long as I'd like. I can't take hydrocondone which make me itch and sometimes break out in night sweats.,10
Microgestin 1 / 20,Birth Control,"I wanted to write something as I'm in the process of researching new birth control (I have underlying high blood pressure and smoke, so the pill may not be the best long term birth control option for me) and I found that there's not a lot of good info out there comparing methods. Most reviews seem to be people complaining, because who's going to take the time to write something when they're happy? Well, I want to. I've been on microgestin for over a yr and it's been great. My acne is much improved on it, I've actually lost weight in this time, I haven't had any spotting. My libido is still high and I haven't had issues with arousal. I miss my period sometimes but I think that's from using this continuously so often to skip it. No pregnancy!",10
Insulin isophane / insulin regular,"Diabetes, Type 2",I buy this insulin at for $28.88 ..the lowest price in the USA but u can only buy max 4 bottles at a time,10
Norethindrone,Birth Control,Once I started taking this my boobs got much bigger. Went for a B to a DD. I don't get nauseous like other birth control has made me but I get my period about 3 times a month.. and that really sucks.,7
Aubagio,Multiple Sclerosis,"After about 6 months I started having stomach pain and feeling sick on my stomach, not sure if it was medicines or something else.",8
Doxylamine,Insomnia,Absolutely horrible experience. Made me have to go five times during the night. Could not fall in to deep sleep kept waking up over and over. Its morning and I am still feeling the effects of it two hours after taking. Dry mouth and foggy head. I took 25mg - 1 pill which package recommended for adult. I will be throwing away the rest of the pills.,1
Alemtuzumab,Multiple Sclerosis,Easy infusion. The best you can get. It gave me my life back!! No.....more.....flares!!,10
Xifaxan,Irritable Bowel Syndrome,"I have had IBS-D for the past 8 years and am able to manage it with a regular regime of Xifaxan for the past several years. Every 6 weeks, I go on a 10 day regimen of Xifaxan and, yes, it does get worse when I'm not on it. But I can control the diarrhea, and somewhat the bloating. The bloating gets worse with my diet. So watching gas producing foods is a must.",10
Yaz,Acne,"I have to tell you I have struggled with acne since I was 13. I'm 34 now and am clear and happy. It took about 60 days before I noticed a difference, it's wonderful. My side effects are larger tender breasts, not such a big deal, and I have gained weight. I've always been small and I'm at 118 now my biggest, but I think I can deal with it. Love the clear face to much to go off the pill. I suppose if I continue to gain weight I'll look for other acne options.",8
Supartz,Osteoarthritis,Injection was virtually painless. Noticeable decrease in pain within hours of first injection. It's now been 5 days and I'm pleased with results.,10
Stadol,Pain,"I have tried just about everything for migraine pain. I am sensitive/allergic to the triptans. Plus, most of them last about 4-6 hours, my headaches last about 36 and you aren't supposed to use them two days in a row. I use Stadol for relief from the pain when it becomes unbearable. I use self-hypnosis, biofeedback, and Aleve but there are times when I need something stronger. This works quickly and there is no risk of vomiting it up as with a pill.",9
Zomig,Migraine,Given two of the 5 mg in nasal spray form ( at neurologist for my Rxs that control my 20 year history of cervical dystonia). Was on my second day of latest sinus headache the neuros always insist are migraines. Had them since I was a small child and they are sinus related. Spray did nothing. I got rid of it by eating hot mashed potatoes with three or more tablespoons of crushed hot pepper flakes. That was over an hour and a half of the non effective 5 mg Zomig. Hot spicy food worked instantly. Happy for those it works for...but I've often conquered mine with two gel cap ibuprofen. And or a damp hand towel in a plastic grocery bag heated in microwave and put on forehead. Mine are more stubborn over 50 years. Try other things 1st,1
Verapamil,Migraine Prevention,I had chronic headaches and migraines and had all the tests MRI/CAT scan to try to determine cause - everything normal. Final resort was Verapamil and I was instantly pain free - as long as I take the lowest dose - am actually taking 1/2 pill of the smallest dose - extended release - and it works for me - but if I stop taking it - the headaches are back within two days.,10
Dexilant,GERD,"I tried everything else on the market. Nexium works, but not as good as dexiliant. With Nexium I got most of the listed side effects plus my new insurance will not pay for nexium prescription . I had to buy it over the counter and take double dosage which came out of be about 46 instead of 23. I really need prescription of 40 mg? I am glad I do not have stomach pain, lower back pain, dry mouth, etc from taking nexium. All the other acid reflux prescription or over the counter didn't work and gave me side effect . My new insurance will pay for dexiliant, but a small portion and I couldn't afford the $150 a month co-pay. I found out that the maker of dexiliant with pay the remaining $130 for me and I just have to pay $20out of pocket",9
Imitrex,Migraine,"I have taken Imitrex ever since it came out in the 90s. It works and I'll be forever grateful that it does. If you, like me, know what it was like to get migraines before Imitrex came out, you'll understand why I sing its praise.",10
Metronidazole,Bacterial Infection,"So, I was put on Metronidazole by my gastroenterologist because of ""gut issues"". 250mg 3x/ day for 10 days. The first two-ish days I had diarrhea, dry mouth, and the ""metallic"" taste many people mention. My gut symptoms seemed to worsen but after a few days, this medication seemed to get everything under control. All bad side effects subsided and I felt totally fine. I absolutely did NOT drink alcohol while taking this (and my doctor did make it very clear not to). When you read the potentially terrible (and dangerous) side effects from mixing this medication and booze, it's just not worth it. The worst thing about this medication is the taste - terribly bitter so swallow quickly! All in all, don't fear this medication too much.",9
Balziva,Birth Control,"I started balziva because I was having irregular periods( every 7-10 days), within 3 months, my period was regular. I did not gain weight because of the pill but it did cause my breasts to get a bit bigger. I still get periods on this pill lasting 2-6 days, with only one day of bad cramping and they tend to be light. The lack of side effects make this a good choice. The cost is a bit much where I get it currently, at around 17 dollars a month.",10
Xulane,Birth Control,"I was once on the ORTHO EVRA patch which was a dream option for me. This med they call Xulane gives me a HORRIBLE, I mean H O R R I B L E rash, presumably from the adhesive. When you scratch from the uncontrollable itch, you risk micro lacerations that this glue enters your skin and then suddenly the rash turns into a full-blown allergic reaction that is unbearably burning, itching, and even aching. Yes, ACHING. Return the ORTHO EVRA PATCH ASAP!",1
Mirtazapine,Depression,I have been taken 30mg for depression. It has not lifted it completely but I do feel a lot better. The only downside is the increase in appetite. I have put on 1/2 stone in 2 weeks. So not sure I am going to stick with it as the weight gain is adding to my depression.,5
Amitiza,Irritable Bowel Syndrome,I have had problems with IBS for several years I was on Amitiza and one of my physicians took me off it I was off for 5 years started having severe problems with my IBS again my new doctor GI doctor put me back on it and it is a God sent I am back regular again I give this medicine at 10 I have no side effects and I love it thank you,10
Diphenhydramine / naproxen,Insomnia,It works wonders for me i finally can sleep through the night,10
Golimumab,Rheumatoid Arthritis,"Started taking Simponi in November of 2013. I got full use of one hand back and about 80% on the other in 4 days. I was diagnosed in 2002 and disabled by 2003. I've used Humira, Enbrel, and Remicade all with some success but I continued to get worse. The infusion wears off around 5 to 6 weeks. This last infusion of Simponi was my best yet. My next infusion is tomorrow 6/23/14. Really need it too.",8
Humira,Rheumatoid Arthritis,"I started taking Humira after the Methotrexate became in-effective. I WOULD NEVER TAKE THIS HUMIRA AGAIN IN MY ENTIRE LIFE. It began with headaches, which got worse every time I took the Humira. My energy level went down to nothing, and it did not help my RA at all. NOW, this drug has given me severe Eczema on my hands, feet, underarms, crotch and in my ear canals. I have never been so miserable in my entire life. They can't help the eczema at all. I have gone off Humira for over 2 months, I'm flaring, and I still have the eczema. They tell me I might have it for life. DO NOT TAKE THIS DRUG. I'd rather have RA pain, then all these debilitating side effects. Funny, they never said a word about any of this.",1
Migranal,Migraine,"I have been getting severe migraines for more than 25 years. 99% of the time they would result in a trip to the ER for a few injections - since I can't keep anything in my stomach, pills were not a solution. Suppositories to control the vomiting so that I could take pills only made me more miserable - in other ways - and offered little to no benefit. Last year my neurologist prescribed Migranal Nasal Spray. Wow. What a life changer! Within 30 minutes I am good to go with little to no remaining headache. There isn't even enough time for the vomiting to start. I really want to spread the word on this to other migraine sufferers. It has been an amazing solution for me.",10
Morphine,Chronic Pain,"It gave me my life back. I can work, do things with my kids pain free.",10
Duragesic,Pain,"This patch has been the most effective in treating my spinal pain, however due to a change in work and traveling extensively the restrictions about getting a refill is hard.",9
Glatiramer,Multiple Sclerosis,"I was diagnosed with MS a few months ago. Glatopa was the first drug prescribed. The auto-injector makes the daily injections easy to tolerate. I was on it for approximately one month before having an extreme adverse reaction that started immediately after an injection. It started with a strong metallic taste in my mouth, loud rushing sounds in my ears, and extreme dizziness and loss of motor functions followed by crushing chest pain and shortness of breath. The most severe symptoms lasted for 10-15 minutes, the chest pain for over an hour and the breathing problems for well over 2 hours. I believe I blacked out for several minutes at the onset of the reaction. I am currently not taking any MS medication.",4
Ziprasidone,Bipolar Disorde,"I have suffered from Bi-Polar for 20 yrs now and tried every med there is and suffered their side affects. Geodon has had the fewest side affects and has worked the best. I've been on it for almost 3 years now along with Topamax and Klonipin. I can't say I'm totally healed, but I'm as stable as I've ever been and I stay at a normal mood level.",10
Atenolol,High Blood Pressure,Dizziness ... not given full information about medication from physician ... should have done my own medication search on Internet,5
Meclizine,Nausea/Vomiting,"I was having morning sickness symptoms while going through menopause. I was sick for 3 months, having every test know to man to figure out why I was nauseated 24/7. Then on a whim, my gastrologist gave me a prescription for Antivert/Meclizine. Wow, within 20 minutes the nausea had subsided. You have to continue your dosage until the nausea has passed. Sort of build up in your system. Stop too soon and the misses comes right back. Now I only use it occasionally.",10
Lubiprostone,Irritable Bowel Syndrome,"I have had a pain in my left lower abdomen for a month and a half now. I finally went to the doctor yesterday and he told me it sounds like IBS. I have a GI appointment just to make sure. He gave me Amitiza to try till then. I was weary to try Amitiza because so many reviews talked of bad side effects. I ate a very full meal and took it last night. This morning I had no pain for the first time in a month and a half. I felt it some during the day but nothing like it has been. Definitely a miracle drug! I had little side effects, some nausea and a bit of feeling ""not all there"". But that was just a short time and it all went away. I can definitely handle the side effects when it works so well. I hope this review helps.",10
Inderal,Migraine Prevention,"I found immense relief with Inderal, on just 10mg every morning and night....it was like a miracle as preventative and I also have found it dulls a migraine if one happens to break through, by taking an extra one. I had been waking up with a bad headache/migraine every day, which lasted all day. Codeine was my only vague relief in mega doses. My only complaint is that since commencing Inderal I have gained 10kg and no dieting seems to help! All this in only 12 months. The other side effects have been an increase to my allergy intolerance to certain foods ie chocolate and a heightened problem with low blood sugar. So, the doctor has just commenced me on Topamax instead 25mg every morning and night. Will report how this compares!",7
Lurasidone,Bipolar Disorde,I've been on 20mg Latuda for about 1 month. So far it has changed my life. I've had NO side effects. I was worried about weight gain but none at all. I am eating more nutritionally and wanting to take better care of myself. I have struggled brutally with bipolar depression and attempted suicide several times not really wanting to die but to stop the horrific depression. I guess now there's a reason I'm still here. I hope I'm not being too premature in thinking this might last. But for now I'm taking it one day at a time and enjoying the moment. Best medication I've ever had so far. THANK YOU to whoever invented this!,10
Epiduo Forte,Acne,"I'm on my 10th week of the drug, and it usually takes 12-16 week to see the full effects.I apply it at nighttime, and sometimes apply a layer of moisturizer 15-30 minutes afterwards. It dried me out SO much in my first month and a half of use that I had to start skipping nights and use three layers of moisturizer. My skin burned when I would put on my lotion because it was THAT dry. I now use it everyday and still have 2-4 active breakouts at any given time. I also get A LOT of small whiteheads (those may be from shaving my face though) and I extract them myself, which probably isn't a good idea. My skin is definitely better on the medication than off, I just hope the results are better in 2-4 additional weeks of use.",6
Suprep Bowel Prep Kit,Bowel Preparation,"Full disclosure...I am a self-professed hypochondriac. I have been frightened out of my wits for years at having a colonoscopy because I have heard all the horror stories. I chose Suprep as it came recommended from a friend. I prepared myself fully...I went on a low-residue diet one week before and I bought Smart Water and drank 2 liters during the day I started my prep to make sure I stayed fully hydrated. At 6:00 p.m. I drank my first 6 oz. in water...not bad. I got it down in 5 large drinks. I waited 40 minutes and then I literally sat on the stool for the next 1-1/2 hours. I had NO GAS PAINS, NO NAUSEA. Nothing!!! I have a very sensitive stomach and was very concerned about getting sick. I set my alarm for 3:00 a.m. and drank my second dose. I sat on the stool for 2 hours until it was time to drive to the hospital. My experience was fantastic. I would rather take this for my chronic constipation than Dulcolax any day of the week. Finally, a great colon prep!",10
Etodolac,Pain,I have been having incredible TMJ pain and back pain in ages soo it seems(10 years) I have been on countless pain medications for my back pain and more recently TMJ pain after undergoing athroscopy surgery. The pain in my TMJ has been horrendous and then some and been recently been prescribed Lodine and its almost been so good to believe. Its a medication that can work very good and definetly worth a try and see if it works for you.. :),8
Endocet,Pain,It works better than Lortab I think. It was getting to where I had to take at least 3 Lortab 10mg just for my pain to go away. Now I am on Endocet 7.5mg and it does wonders. The thing is medicines scare me cause I don't want to get addicted but I have been taking this medicine for a good long time and I just recently been coming off of it and I haven't suffered from one withdrawal. It's awesome.,9
Brexpiprazole,Major Depressive Disorde,"I have been on Rexulti for 3 weeks as an add on to Wellbutrin XL 300mg for major depression disorder. I have battled this for years trying so many different meds, finally found WB worked for me, however I still felt like I had mild depression. I wanted to smile again, laugh again and this med has done that for me. On my 4th day, I laughed and thought, this is working, finally! I was prescribed 0.5 for a week to increase to 1.0 the start of the 2nd week. The first week I felt hyper, energetic, and happy.. I had to call my Dr because I felt if I went up on the dose I would start having panic attacks and anxiety. She told me to stay on the 0.5 and increase if I felt like I needed to. I am still on the low dose. I'm in my 3rd week.",8
Risperdal,Bipolar Disorde,I am currently taking this new medicine and it has really helped me control my mood swings better than any other medicine that I have taken in the past. One thing that I do not like is that I have gained weight from this. It makes me eat a lot.,8
Vistaril,Pain,"I have seen vistaril prescribed a number of times for pain, especially muscle pain. I found it useless for pain itself, but it was great to potentiate opiates and stop rashes that might develop",2
Euflexxa,Osteoarthritis,I have received knee shots with Euflexxa and Hylagan and Synvisic-One. they all worked well for me. I experienced a little discomfort walking the first 10 minutes after the injections. The Euflexxa felt like WD-40 being sprayed into my knees and worked well. It made my knees feel very lubricated with a bit of a bounce. The others seemed to give a bit more cushion within the knees but with less lubrication. I would recommend Euflexxa to anyone that does not have an allergic reaction to it. Six to twelve months of relief. Greatly satisfied with the product and Insurance covered all of the price except the doctors up front office visit co-pay.,10
Risperidone,Bipolar Disorde,I was hospitalized and put on this medicine approximately 2 years ago. I did great on this medicine. I did start the teeth grinding but not severe. I tried to give it up because of that side effect although I only did it while laying down getting ready for sleep and a few times during the day. I didn't get that exercise high anymore since it made me sort of sedated during exercise. I did get hungrier more often and gained about ten pounds but overall this medicine has decreased my anxiety and I hardly ever get panic attacks anymore. I tried other medicines but want to stay on this medicine because even though the side effects of weight gain etc. I love the way it relaxes me at night and helps me to sleep.,9
Acanya,Acne,"I tried this gel after suffering from severe acne once a month (after stopping birth control). I'm 28 years old, have always had a FEW pimples at a time, but never anything like what I experiences after stopping birth control! I used the gel, and the first day was terrible. My whole skin burned and peeled, and I stopped using Acanya after that for about 3 weeks. I then researched the gel, and was informed that I shouldn't have put it all over my face, especially in sensitive areas. So I tried using it again, only on my forehead and jawline. I have literally not had one acne breakout since I have started up again, and it has been about 7 months! One pimple once in a while, but that's it! Amazing! No more burning as well!",10
Stendra,Erectile Dysfunction,"Terrible. I have used Vardenafil, Sildenafil, and Taladafil all without issue (Levitra, Viagra, Cialis). Then, because of cost, I tried switching to Stendra... I RARELY have side effects with medicine, but this stuff is terrible for me. I can be guaranteed to break out in a cold sweat, heart racing, and feel like I'm about to die. I take so many medications it took me awhile to zone in on the problem - and sure enough, through painful trial and error . . . I learned. Stendra is terrbile for my body. Best luck to those who it works for, but for me - never again.",1
Solodyn,Acne,"I took Solodyn a few years ago. I was on it for about 2-3 yrs. Like another poster on here said, I didn't have horrible acne like some cases, but it made me uncomfortable, especially as an adult. It did clear my acne (hence the rating of 3 instead of 0). But when I tried to come off of it, OMG!! It became one of those cases. I broke out like I could never imagine. I wouldn't look people in the eye, wouldn't let my husband EVER see me without make up, my self esteem when in the tank. I had to go on Accutane to get off of Solodyn. I did it during the summer (I am a school nurse w/summers off). It was the only time I could go off Solodyn for the 2 weeks I had to, to go on Accutane.",3
Trintellix,Depression,"Been taking this medicine for two weeks. I noticed I'm really itchy, my stomach is so sick, headaches, and I'm very tired. I hope it gets better.",5
Adapalene / benzoyl peroxide,Acne,"This stuff saved me and I can't thank my dermatologist enough! I developed severe acne from hormonal problems at around 18 and I was prescribed epiduo and it cleared up in 3 months, nothing else worked. I used every face wash and hard core acne treatment on the market and NOTHING worked. Epiduo really really works.",10
Voltaren,Osteoarthritis,I have been using this medication for 12 years. It gives me great relief. I take it 2x daily and if I miss a dose I know it in a few hours. Without it I have back pain and begin to limp.,9
Codeine / guaifenesin,Cough,"Was prescribed this med for cough and it did absolutely nothing except made my head hurt horribly bad and my throat tickle, which made the cough worse.",1
Blisovi Fe 1 / 20,Birth Control,"I just wanted to share my experience with this BC. I had never taken any kind of BC before and wanted to try birth control badly to lighten my periods (they are really heavy and irregular - always late, different durations etc) because of my constant feelings of stress/anxiety. I also wanted something to help with the hormonal acne and breakouts I get around this time. (yay..) So the Gynecologist prescribed this to me and got me all excited saying it will shorten my period and in 6 months of taking it it will make my period go away and she also said my skin would clear up too. Well, I took it for 3.5 weeks hoping for things to get better but instead, I had TWO weeks of everyday extreme cramps (horrible and hurt really bad) and spotting",1
Atralin,Acne,"I used this medicine for about two months. I started out with very mild acne - a few pimples here and there, and I wanted something to help clear them up. I started using this gel and began breaking out worse than I ever have in my life - not just small pimples - large painful pimples that did not go away until I stopped using the medicine.",1
Ethinyl estradiol / levonorgestrel,Birth Control,"I love this birth control! I've tried several others (Lo Loestrin, etc.), but this product has been remarkably consistent for me with few, if any, side effects. Occasionally if I miss a pill by more than a few hours I might have some spotting, and on the first day I take the pill I sometimes have a slight headache and find myself a little moodier, but honestly, compared to the other products, which have given me acne, mood swings, nausea, and other problems, I would take the few mild symptoms from this product in a heartbeat. Highly recommended!",10
Penicillin VK,Bacterial Infection,"This is my first time taking such a high dosage of this medicine, which was usual for me but I had abad tooth ache. I have taken penicillin before but at a lower dosage, however this new med has a higher dosage and the side effects are bothersome. I do not truly feel it is worth continuing to take. I'm consulting the doctor that prescribed the med to me from our local hospital's ER.",4
